time_s,position_mm,velocity_m_per_s,source_charge_nC,source_current_uA,load_current_uA,voltage_V,power_mW,energy_uJ
8.352303838071e-02,1.395219588069e+01,3.340921535228e-01,3.373829389609e+00,7.791946347002e-01,-7.022881402133e-01,-7.022881402133e+02,4.932086318843e-01,9.208062317896e+01
8.359240967505e-02,1.397538191056e+01,3.343696387002e-01,3.427689602122e+00,7.736209413429e-01,-7.013741860291e-01,-7.013741860291e+02,4.919257488280e-01,9.211479320250e+01
8.366178096938e-02,1.399858718994e+01,3.346471238775e-01,3.481163561662e+00,7.680588190073e-01,-7.004642381620e-01,-7.004642381620e+02,4.906501489439e-01,9.214887448341e+01
8.373115226372e-02,1.402181171882e+01,3.349246090549e-01,3.534252070924e+00,7.625082676938e-01,-6.995582869841e-01,-6.995582869841e+02,4.893817968881e-01,9.218286752569e+01
8.380052355806e-02,1.404505549721e+01,3.352020942322e-01,3.586955932605e+00,7.569692874010e-01,-6.986563228732e-01,-6.986563228732e+02,4.881206574907e-01,9.221677283093e+01
8.386989485239e-02,1.406831852510e+01,3.354795794096e-01,3.639275949403e+00,7.514418781304e-01,-6.977583362132e-01,-6.977583362132e+02,4.868666957550e-01,9.225059089826e+01
8.393926614673e-02,1.409160080250e+01,3.357570645869e-01,3.691212924014e+00,7.459260398814e-01,-6.968643173938e-01,-6.968643173938e+02,4.856198768567e-01,9.228432222439e+01
8.400863744107e-02,1.411490232941e+01,3.360345497643e-01,3.742767659134e+00,7.404217726541e-01,-6.959742568107e-01,-6.959742568107e+02,4.843801661433e-01,9.231796730364e+01
8.407800873540e-02,1.413822310582e+01,3.363120349416e-01,3.793940957461e+00,7.349290764489e-01,-6.950881448657e-01,-6.950881448657e+02,4.831475291329e-01,9.235152662790e+01
8.414738002974e-02,1.416156313174e+01,3.365895201189e-01,3.844733621691e+00,7.294479512643e-01,-6.942059719664e-01,-6.942059719664e+02,4.819219315137e-01,9.238500068671e+01
8.421675132407e-02,1.418492240716e+01,3.368670052963e-01,3.895146454522e+00,7.239783971019e-01,-6.933277285261e-01,-6.933277285261e+02,4.807033391431e-01,9.241838996720e+01
8.428612261841e-02,1.420830093209e+01,3.371444904736e-01,3.945180258648e+00,7.185204139612e-01,-6.924534049644e-01,-6.924534049644e+02,4.794917180468e-01,9.245169495417e+01
8.435549391275e-02,1.423169870653e+01,3.374219756510e-01,3.994835836768e+00,7.130740018422e-01,-6.915829917067e-01,-6.915829917067e+02,4.782870344179e-01,9.248491613004e+01
8.442486520708e-02,1.425511573047e+01,3.376994608283e-01,4.044113991579e+00,7.076391607447e-01,-6.907164791841e-01,-6.907164791841e+02,4.770892546165e-01,9.251805397491e+01
8.449423650142e-02,1.427855200392e+01,3.379769460057e-01,4.093015525776e+00,7.022158906689e-01,-6.898538578340e-01,-6.898538578340e+02,4.758983451685e-01,9.255110896655e+01
8.456360779575e-02,1.430200752687e+01,3.382544311830e-01,4.141541242057e+00,6.968041916147e-01,-6.889951180995e-01,-6.889951180995e+02,4.747142727649e-01,9.258408158041e+01
8.463297909009e-02,1.432548229933e+01,3.385319163604e-01,4.189691943118e+00,6.914040635827e-01,-6.881402504294e-01,-6.881402504294e+02,4.735370042611e-01,9.261697228964e+01
