time_s,source_charge_centered_nC,transfer_charge_from_start_nC
6.228848518442e-01,1.173853135644e+02,-4.658863955119e+01
6.229542231385e-01,1.173809256662e+02,-4.659302744941e+01
6.230235944329e-01,1.173765377680e+02,-4.659741534763e+01
6.230929657272e-01,1.173721498698e+02,-4.660180324584e+01
6.231623370215e-01,1.173677619715e+02,-4.660619114406e+01
6.232317083159e-01,1.173633740733e+02,-4.661057904228e+01
6.233010796102e-01,1.173589861751e+02,-4.661496694049e+01
6.233704509046e-01,1.173545982769e+02,-4.661935483871e+01
6.234398221989e-01,1.173502103787e+02,-4.662374273693e+01
6.235091934932e-01,1.173458224805e+02,-4.662813063514e+01
6.235785647876e-01,1.173414345822e+02,-4.663251853336e+01
6.236479360819e-01,1.173370466840e+02,-4.663690643158e+01
6.237173073762e-01,1.173326587858e+02,-4.664129432979e+01
6.237866786706e-01,1.173282708876e+02,-4.664568222801e+01
6.238560499649e-01,1.173238829894e+02,-4.665007012623e+01
6.239254212592e-01,1.173194950912e+02,-4.665445802444e+01
6.239947925536e-01,1.173151071929e+02,-4.665884592266e+01
6.240641638479e-01,1.173107192947e+02,-4.666323382088e+01
6.241335351422e-01,1.173063313965e+02,-4.666762171909e+01
6.242029064366e-01,1.173019434983e+02,-4.667200961731e+01
6.242722777309e-01,1.172975556001e+02,-4.667639751553e+01
6.243416490253e-01,1.172931677019e+02,-4.668078541374e+01
6.244110203196e-01,1.172887798036e+02,-4.668517331196e+01
6.244803916139e-01,1.172843919054e+02,-4.668956121018e+01
6.245497629083e-01,1.172800040072e+02,-4.669394910839e+01
6.246191342026e-01,1.172756161090e+02,-4.669833700661e+01
6.246885054969e-01,1.172712282108e+02,-4.670272490483e+01
6.247578767913e-01,1.172668403126e+02,-4.670711280305e+01
6.248272480856e-01,1.172624524143e+02,-4.671150070126e+01
6.248966193799e-01,1.172580645161e+02,-4.671588859948e+01
6.249659906743e-01,1.172536766179e+02,-4.672027649770e+01
6.250353619686e-01,1.172492887197e+02,-4.672466439591e+01
6.251047332630e-01,1.172449008215e+02,-4.672905229413e+01
6.251741045573e-01,1.172405129233e+02,-4.673344019235e+01
