time_s,position_m,motion_velocity_m_per_s,source_charge_C,short_circuit_current_A
0.369454884413851,0.0982294807616919,-0.13306085969616,6.41877476068076e-07,-7.50422151028001e-07
0.369509529419681,0.0982222021850464,-0.133334084725308,6.41836379363587e-07,-7.53711808317304e-07
0.36956417442551,0.0982149086780177,-0.133607309754456,6.41795102523419e-07,-7.57015093119463e-07
0.36961881943134,0.0982076002406056,-0.133880534783604,6.41753644801534e-07,-7.60332055298922e-07
0.369673464437169,0.0982002768728103,-0.134153759812752,6.41712005449165e-07,-7.63662744839882e-07
0.369728109442999,0.0981929385746316,-0.1344269848419,6.41670183714812e-07,-7.67007211845971e-07
0.369782754448829,0.0981855853460696,-0.134700209871048,6.41628178844233e-07,-7.70365506539917e-07
0.369837399454658,0.0981782171871243,-0.134973434900195,6.41585990080438e-07,-7.73737679263191e-07
0.369892044460488,0.0981708340977957,-0.135246659929343,6.41543616663684e-07,-7.77123780475694e-07
0.369946689466317,0.0981634360780837,-0.135519884958491,6.41501057831466e-07,-7.80523860755366e-07
0.370001334472147,0.0981560231279885,-0.135793109987639,6.41458312818513e-07,-7.83937970797842e-07
0.370055979477977,0.0981485952475099,-0.136066335016787,6.41415380856781e-07,-7.87366161416076e-07
0.370110624483806,0.0981411524366481,-0.136339560045935,6.41372261175444e-07,-7.90808483539949e-07
0.370165269489636,0.0981336946954029,-0.136612785075083,6.41328953000892e-07,-7.94264988215898e-07
0.370219914495465,0.0981262220237744,-0.136886010104231,6.41285455556721e-07,-7.97735726606513e-07
0.370274559501295,0.0981187344217627,-0.137159235133379,6.41241768063728e-07,-8.01220749990114e-07
0.370329204507124,0.0981112318893675,-0.137432460162527,6.41197889739907e-07,-8.04720109760361e-07
0.370383849512954,0.0981037144265891,-0.137705685191675,6.41153819800437e-07,-8.08233857425816e-07
0.370438494518784,0.0980961820334274,-0.137978910220823,6.41109557457682e-07,-8.11762044609516e-07
0.370493139524613,0.0980886347098824,-0.138252135249971,6.4106510192118e-07,-8.15304723048516e-07
0.370547784530443,0.098081072455954,-0.138525360279119,6.4102045239764e-07,-8.18861944593466e-07
0.370602429536272,0.0980734952716424,-0.138798585308267,6.40975608090934e-07,-8.22433761208127e-07
0.370657074542102,0.0980659031569474,-0.139071810337415,6.40930568202092e-07,-8.2602022496892e-07
0.370711719547932,0.0980582961118691,-0.139345035366563,6.40885331929294e-07,-8.29621388064423e-07
0.370766364553761,0.0980506741364076,-0.139618260395711,6.40839898467866e-07,-8.33237302794921e-07
0.370821009559591,0.0980430372305627,-0.139891485424858,6.40794267010273e-07,-8.36868021571873e-07
0.37087565456542,0.0980353853943345,-0.140164710454006,6.40748436746112e-07,-8.40513596917428e-07
0.37093029957125,0.0980277186277229,-0.140437935483154,6.40702406862109e-07,-8.441740814639e-07
