time_s,short_circuit_current_A,integrated_transferred_charge_C,short_circuit_current_uA,integrated_transferred_charge_nC
3.459028869013e-01,-1.031638980297e-07,6.481107131002e-07,-1.031638980297e-01,6.481107131002e+02
3.459575319071e-01,-1.036698836893e-07,6.481050618836e-07,-1.036698836893e-01,6.481050618836e+02
3.460121769130e-01,-1.041780180805e-07,6.480993829587e-07,-1.041780180805e-01,6.480993829587e+02
3.460668219188e-01,-1.046883115388e-07,6.480936762078e-07,-1.046883115388e-01,6.480936762078e+02
3.461214669246e-01,-1.052007744414e-07,6.480879415127e-07,-1.052007744414e-01,6.480879415127e+02
3.461761119304e-01,-1.057154172074e-07,6.480821787544e-07,-1.057154172074e-01,6.480821787544e+02
3.462307569363e-01,-1.062322502985e-07,6.480763878136e-07,-1.062322502985e-01,6.480763878136e+02
3.462854019421e-01,-1.067512842184e-07,6.480705685704e-07,-1.067512842184e-01,6.480705685704e+02
3.463400469479e-01,-1.072725295137e-07,6.480647209041e-07,-1.072725295137e-01,6.480647209041e+02
3.463946919538e-01,-1.077959967737e-07,6.480588446937e-07,-1.077959967737e-01,6.480588446937e+02
3.464493369596e-01,-1.083216966307e-07,6.480529398174e-07,-1.083216966307e-01,6.480529398174e+02
3.465039819654e-01,-1.088496397603e-07,6.480470061529e-07,-1.088496397603e-01,6.480470061529e+02
3.465586269713e-01,-1.093798368812e-07,6.480410435774e-07,-1.093798368812e-01,6.480410435774e+02
3.466132719771e-01,-1.099122987558e-07,6.480350519674e-07,-1.099122987558e-01,6.480350519674e+02
3.466679169829e-01,-1.104470361902e-07,6.480290311988e-07,-1.104470361902e-01,6.480290311988e+02
3.467225619887e-01,-1.109840600346e-07,6.480229811470e-07,-1.109840600346e-01,6.480229811470e+02
3.467772069946e-01,-1.115233811830e-07,6.480169016868e-07,-1.115233811830e-01,6.480169016868e+02
3.468318520004e-01,-1.120650105740e-07,6.480107926923e-07,-1.120650105740e-01,6.480107926923e+02
3.468864970062e-01,-1.126089591906e-07,6.480046540371e-07,-1.126089591906e-01,6.480046540371e+02
3.469411420121e-01,-1.131552380605e-07,6.479984855942e-07,-1.131552380605e-01,6.479984855942e+02
3.469957870179e-01,-1.137038582562e-07,6.479922872359e-07,-1.137038582562e-01,6.479922872359e+02
3.470504320237e-01,-1.142548308954e-07,6.479860588339e-07,-1.142548308954e-01,6.479860588339e+02
3.471050770295e-01,-1.148081671412e-07,6.479798002595e-07,-1.148081671412e-01,6.479798002595e+02
3.471597220354e-01,-1.153638782019e-07,6.479735113831e-07,-1.153638782019e-01,6.479735113831e+02
3.472143670412e-01,-1.159219753316e-07,6.479671920747e-07,-1.159219753316e-01,6.479671920747e+02
3.472690120470e-01,-1.164824698303e-07,6.479608422036e-07,-1.164824698303e-01,6.479608422036e+02
3.473236570529e-01,-1.170453730441e-07,6.479544616384e-07,-1.170453730441e-01,6.479544616384e+02
3.473783020587e-01,-1.176106963652e-07,6.479480502473e-07,-1.176106963652e-01,6.479480502473e+02
3.474329470645e-01,-1.181784512323e-07,6.479416078976e-07,-1.181784512323e-01,6.479416078976e+02
3.474875920704e-01,-1.187486491310e-07,6.479351344562e-07,-1.187486491310e-01,6.479351344562e+02
3.475422370762e-01,-1.193213015935e-07,6.479286297893e-07,-1.193213015935e-01,6.479286297893e+02
3.475968820820e-01,-1.198964201991e-07,6.479220937624e-07,-1.198964201991e-01,6.479220937624e+02
3.476515270878e-01,-1.204740165744e-07,6.479155262404e-07,-1.204740165744e-01,6.479155262404e+02
3.477061720937e-01,-1.210541023935e-07,6.479089270877e-07,-1.210541023935e-01,6.479089270877e+02
3.477608170995e-01,-1.216366893781e-07,6.479022961678e-07,-1.216366893781e-01,6.479022961678e+02
