time_s,Q_analytical_nC,Isrc_analytical_uA,Iload_analytical_uA,Q_empirical_nC,Isrc_empirical_uA,Iload_empirical_uA
1.665188595500e-02,-3.245561763387e+02,1.065953369431e-01,3.841776117619e-03,-3.248887912700e+02,2.766328840650e-02,9.631305478987e-04
1.679065167129e-02,-3.245411997861e+02,1.092806844415e-01,3.970437636106e-03,-3.248849009918e+02,2.841379544692e-02,9.965953850841e-04
1.692941738758e-02,-3.245258475137e+02,1.120106864752e-01,4.102286779602e-03,-3.248809055486e+02,2.917910762838e-02,1.030955626076e-03
1.706818310387e-02,-3.245101132998e+02,1.147857071103e-01,4.237375025628e-03,-3.248768028723e+02,2.995942414942e-02,1.066228586221e-03
1.720694882017e-02,-3.244939908720e+02,1.176061102080e-01,4.375754237938e-03,-3.248725908667e+02,3.075494610654e-02,1.102431806847e-03
1.734571453646e-02,-3.244774739076e+02,1.204722594177e-01,4.517476665776e-03,-3.248682674080e+02,3.156587650966e-02,1.139583057332e-03
1.748448025275e-02,-3.244605560333e+02,1.233845181724e-01,4.662594943139e-03,-3.248638303438e+02,3.239242029555e-02,1.177700337203e-03
1.762324596904e-02,-3.244432308255e+02,1.263432496820e-01,4.811162088031e-03,-3.248592774932e+02,3.323478434711e-02,1.216801878240e-03
1.776201168533e-02,-3.244254918102e+02,1.293488169304e-01,4.963231501708e-03,-3.248546066465e+02,3.409317750488e-02,1.256906146602e-03
1.790077740162e-02,-3.244073324630e+02,1.324015826674e-01,5.118856967922e-03,-3.248498155648e+02,3.496781058590e-02,1.298031844972e-03
1.803954311792e-02,-3.243887462093e+02,1.355019094054e-01,5.278092652155e-03,-3.248449019799e+02,3.585889639694e-02,1.340197914712e-03
1.817830883421e-02,-3.243697264240e+02,1.386501594133e-01,5.440993100852e-03,-3.248398635939e+02,3.676664975076e-02,1.383423538038e-03
1.831707455050e-02,-3.243502664319e+02,1.418466947086e-01,5.607613240644e-03,-3.248346980790e+02,3.769128748324e-02,1.427728140214e-03
1.845584026679e-02,-3.243303595076e+02,1.450918770550e-01,5.778008377564e-03,-3.248294030769e+02,3.863302846683e-02,1.473131391759e-03
1.859460598308e-02,-3.243099988754e+02,1.483860679542e-01,5.952234196260e-03,-3.248239761992e+02,3.959209362594e-02,1.519653210671e-03
1.873337169937e-02,-3.242891777096e+02,1.517296286399e-01,6.130346759202e-03,-3.248184150265e+02,4.056870595557e-02,1.567313764670e-03
1.887213741567e-02,-3.242678891342e+02,1.551229200745e-01,6.312402505878e-03,-3.248127171081e+02,4.156309053199e-02,1.616133473451e-03
1.901090313196e-02,-3.242461262233e+02,1.585663029391e-01,6.498458251990e-03,-3.248068799624e+02,4.257547453327e-02,1.666133010963e-03
1.914966884825e-02,-3.242238820010e+02,1.620601376292e-01,6.688571188635e-03,-3.248009010757e+02,4.360608725127e-02,1.717333307698e-03
1.928843456454e-02,-3.242011494412e+02,1.656047842495e-01,6.882798881490e-03,-3.247947779025e+02,4.465516010893e-02,1.769755552995e-03
1.942720028083e-02,-3.241779214680e+02,1.692006026046e-01,7.081199269976e-03,-3.247885078651e+02,4.572292667507e-02,1.823421197365e-03
1.956596599712e-02,-3.241541909555e+02,1.728479521949e-01,7.283830666431e-03,-3.247820883532e+02,4.680962268082e-02,1.878351954833e-03
1.970473171342e-02,-3.241299507282e+02,1.765471922097e-01,7.490751755264e-03,-3.247755167235e+02,4.791548603418e-02,1.934569805288e-03
1.984349742971e-02,-3.241051935604e+02,1.802986815188e-01,7.702021592105e-03,-3.247687902997e+02,4.904075683650e-02,1.992096996862e-03
1.998226314600e-02,-3.240799121768e+02,1.841027786682e-01,7.917699602953e-03,-3.247619063720e+02,5.018567739590e-02,2.050956048312e-03
2.012102886229e-02,-3.240540992525e+02,1.879598418709e-01,8.137845583306e-03,-3.247548621968e+02,5.135049224638e-02,2.111169751429e-03
2.025979457858e-02,-3.240277474126e+02,1.918702290011e-01,8.362519697296e-03,-3.247476549963e+02,5.253544816102e-02,2.172761173456e-03
2.039856029487e-02,-3.240008492329e+02,1.958342975869e-01,8.591782476803e-03,-3.247402819586e+02,5.374079416675e-02,2.235753659528e-03
2.053732601117e-02,-3.239733972395e+02,1.998524048036e-01,8.825694820577e-03,-3.247327402367e+02,5.496678156234e-02,2.300170835123e-03
2.067609172746e-02,-3.239453839087e+02,2.039249074658e-01,9.064317993334e-03,-3.247250269490e+02,5.621366393313e-02,2.366036608533e-03
2.081485744375e-02,-3.239168016678e+02,2.080521620202e-01,9.307713624860e-03,-3.247171391781e+02,5.748169716320e-02,2.433375173348e-03
2.095362316004e-02,-3.238876428942e+02,2.122345245370e-01,9.555943709100e-03,-3.247090739712e+02,5.877113945767e-02,2.502211010960e-03
