time_s,position_m,charge_C,current_A,voltage_V,power_W,energy_J
1.111572057299e-01,1.837372496596e-02,-1.849592489260e-07,-5.878863192288e-06,-5.878863192288e+03,3.456103243364e-02,7.058403174126e-04
1.112665048505e-01,1.840168557673e-02,-1.856022361863e-07,-5.886780598657e-06,-5.886780598657e+03,3.465418581673e-02,7.096228986587e-04
1.113758039712e-01,1.842968381834e-02,-1.862460888121e-07,-5.894698005026e-06,-5.894698005026e+03,3.474746457045e-02,7.134156683392e-04
1.114851030919e-01,1.845771969079e-02,-1.868908068035e-07,-5.902615411394e-06,-5.902615411394e+03,3.484086869483e-02,7.172186401569e-04
1.115944022126e-01,1.848579319407e-02,-1.875363901605e-07,-5.910532817763e-06,-5.910532817763e+03,3.493439818985e-02,7.210318278147e-04
1.117037013332e-01,1.851390432819e-02,-1.881828388830e-07,-5.918450224132e-06,-5.918450224132e+03,3.502805305552e-02,7.248552450155e-04
1.118130004539e-01,1.854205309316e-02,-1.888301529710e-07,-5.926367630500e-06,-5.926367630500e+03,3.512183329184e-02,7.286889054622e-04
1.119222995746e-01,1.857023948895e-02,-1.894783324246e-07,-5.934285036869e-06,-5.934285036869e+03,3.521573889880e-02,7.325328228578e-04
1.120315986953e-01,1.859846351559e-02,-1.901273772438e-07,-5.942202443237e-06,-5.942202443237e+03,3.530976987642e-02,7.363870109050e-04
1.121408978160e-01,1.862672517307e-02,-1.907772874285e-07,-5.950119849606e-06,-5.950119849606e+03,3.540392622468e-02,7.402514833069e-04
1.122501969366e-01,1.865502446138e-02,-1.914280629788e-07,-5.958037255975e-06,-5.958037255975e+03,3.549820794359e-02,7.441262537663e-04
1.123594960573e-01,1.868336138053e-02,-1.920797038946e-07,-5.965954662343e-06,-5.965954662343e+03,3.559261503313e-02,7.480113359861e-04
1.124687951780e-01,1.871173593052e-02,-1.927322101760e-07,-5.973872068712e-06,-5.973872068712e+03,3.568714749334e-02,7.519067436693e-04
1.125780942987e-01,1.874014811135e-02,-1.933855818229e-07,-5.981789475080e-06,-5.981789475080e+03,3.578180532418e-02,7.558124905187e-04
1.126873934193e-01,1.876859792302e-02,-1.940398188354e-07,-5.989706881450e-06,-5.989706881450e+03,3.587658852569e-02,7.597285902372e-04
1.127966925400e-01,1.879708536552e-02,-1.946949212134e-07,-5.997624287818e-06,-5.997624287818e+03,3.597149709782e-02,7.636550565277e-04
1.129059916607e-01,1.882561043886e-02,-1.953508889570e-07,-6.005541694186e-06,-6.005541694186e+03,3.606653104061e-02,7.675919030932e-04
1.130152907814e-01,1.885417314304e-02,-1.960077220662e-07,-6.013459100555e-06,-6.013459100555e+03,3.616169035405e-02,7.715391436365e-04
1.131245899021e-01,1.888277347806e-02,-1.966654205409e-07,-6.021376506924e-06,-6.021376506924e+03,3.625697503813e-02,7.754967918605e-04
1.132338890227e-01,1.891141144391e-02,-1.973239843811e-07,-6.029293913293e-06,-6.029293913293e+03,3.635238509287e-02,7.794648614682e-04
1.133431881434e-01,1.894008704061e-02,-1.979834135869e-07,-6.037211319661e-06,-6.037211319661e+03,3.644792051824e-02,7.834433661624e-04
1.134524872641e-01,1.896880026814e-02,-1.986437081583e-07,-6.045128726029e-06,-6.045128726029e+03,3.654358131426e-02,7.874323196460e-04
1.135617863848e-01,1.899755112651e-02,-1.993048680952e-07,-6.053046132398e-06,-6.053046132398e+03,3.663936748094e-02,7.914317356220e-04
1.136710855055e-01,1.902633961572e-02,-1.999668933977e-07,-6.060963538767e-06,-6.060963538767e+03,3.673527901826e-02,7.954416277932e-04
1.137803846261e-01,1.905516573576e-02,-2.006297840657e-07,-6.068880945135e-06,-6.068880945135e+03,3.683131592623e-02,7.994620098626e-04
1.138896837468e-01,1.908402948664e-02,-2.012935400993e-07,-6.076798351504e-06,-6.076798351504e+03,3.692747820484e-02,8.034928955330e-04
1.139989828675e-01,1.911293086837e-02,-2.019581614984e-07,-6.084715757873e-06,-6.084715757873e+03,3.702376585410e-02,8.075342985073e-04
1.141082819882e-01,1.914186988093e-02,-2.026236482631e-07,-6.092633164242e-06,-6.092633164242e+03,3.712017887402e-02,8.115862324885e-04
1.142175811088e-01,1.917084652432e-02,-2.032900003934e-07,-6.100550570610e-06,-6.100550570610e+03,3.721671726457e-02,8.156487111795e-04
1.143268802295e-01,1.919986079856e-02,-2.039572178892e-07,-6.108467976978e-06,-6.108467976978e+03,3.731338102577e-02,8.197217482831e-04
1.144361793502e-01,1.922891270363e-02,-2.046253007505e-07,-6.116385383347e-06,-6.116385383347e+03,3.741017015762e-02,8.238053575022e-04
1.145454784709e-01,1.925800223954e-02,-2.052942489774e-07,-6.124302789716e-06,-6.124302789716e+03,3.750708466012e-02,8.278995525399e-04
1.146547775916e-01,1.928712940629e-02,-2.059640625699e-07,-6.132220196085e-06,-6.132220196085e+03,3.760412453327e-02,8.320043470988e-04
1.147640767122e-01,1.931629420388e-02,-2.066347415279e-07,-6.140137602453e-06,-6.140137602453e+03,3.770128977706e-02,8.361197548820e-04
1.148733758329e-01,1.934549663231e-02,-2.073062858515e-07,-6.148055008822e-06,-6.148055008822e+03,3.779858039150e-02,8.402457895924e-04
1.149826749536e-01,1.937473669157e-02,-2.079786955406e-07,-6.155972415190e-06,-6.155972415190e+03,3.789599637658e-02,8.443824649328e-04
1.150919740743e-01,1.940401438167e-02,-2.086519705953e-07,-6.163889821559e-06,-6.163889821559e+03,3.799353773232e-02,8.485297946062e-04
1.152012731949e-01,1.943332970261e-02,-2.093261110155e-07,-6.171807227928e-06,-6.171807227928e+03,3.809120445870e-02,8.526877923155e-04
1.153105723156e-01,1.946268265439e-02,-2.100011168013e-07,-6.179724634297e-06,-6.179724634297e+03,3.818899655573e-02,8.568564717635e-04
1.154198714363e-01,1.949207323701e-02,-2.106769879526e-07,-6.187642040665e-06,-6.187642040665e+03,3.828691402340e-02,8.610358466532e-04
1.155291705570e-01,1.952150145046e-02,-2.113537244695e-07,-6.195559447033e-06,-6.195559447033e+03,3.838495686172e-02,8.652259306875e-04
1.156384696777e-01,1.955096729475e-02,-2.120313263520e-07,-6.203476853402e-06,-6.203476853402e+03,3.848312507069e-02,8.694267375692e-04
1.157477687983e-01,1.958047076988e-02,-2.127097936000e-07,-6.211394259771e-06,-6.211394259771e+03,3.858141865031e-02,8.736382810013e-04
1.158570679190e-01,1.961001187585e-02,-2.133891262135e-07,-6.219311666140e-06,-6.219311666140e+03,3.867983760058e-02,8.778605746866e-04
1.159663670397e-01,1.963959061266e-02,-2.140693241927e-07,-6.227229072508e-06,-6.227229072508e+03,3.877838192149e-02,8.820936323282e-04
1.160756661604e-01,1.966920698030e-02,-2.147503875373e-07,-6.235146478876e-06,-6.235146478876e+03,3.887705161304e-02,8.863374676288e-04
1.161849652811e-01,1.969886097878e-02,-2.154323162475e-07,-6.243063885246e-06,-6.243063885246e+03,3.897584667526e-02,8.905920942914e-04
1.162942644017e-01,1.972855260810e-02,-2.161151103233e-07,-6.250981291614e-06,-6.250981291614e+03,3.907476710811e-02,8.948575260188e-04
1.164035635224e-01,1.975828186826e-02,-2.167987697646e-07,-6.258898697982e-06,-6.258898697982e+03,3.917381291160e-02,8.991337765141e-04
1.165128626431e-01,1.978804875926e-02,-2.174832945715e-07,-6.266816104351e-06,-6.266816104351e+03,3.927298408576e-02,9.034208594800e-04
1.166221617638e-01,1.981785328109e-02,-2.181686847440e-07,-6.274733510720e-06,-6.274733510720e+03,3.937228063055e-02,9.077187886195e-04
1.167314608844e-01,1.984769543376e-02,-2.188549402819e-07,-6.282650917088e-06,-6.282650917088e+03,3.947170254599e-02,9.120275776355e-04
1.168407600051e-01,1.987757521727e-02,-2.195420611855e-07,-6.290568323458e-06,-6.290568323458e+03,3.957124983209e-02,9.163472402308e-04
1.169500591258e-01,1.990749263162e-02,-2.202300474546e-07,-6.298485729826e-06,-6.298485729826e+03,3.967092248882e-02,9.206777901085e-04
1.170593582465e-01,1.993744767681e-02,-2.209188990892e-07,-6.306403136194e-06,-6.306403136194e+03,3.977072051620e-02,9.250192409713e-04
1.171686573672e-01,1.996744035283e-02,-2.216086160894e-07,-6.314320542563e-06,-6.314320542563e+03,3.987064391423e-02,9.293716065223e-04
1.172779564878e-01,1.999747065969e-02,-2.222991984552e-07,-6.322237948931e-06,-6.322237948931e+03,3.997069268291e-02,9.337349004642e-04
1.173872556085e-01,2.002753859739e-02,-2.229906461865e-07,-6.330155355300e-06,-6.330155355300e+03,4.007086682223e-02,9.381091365000e-04
1.174965547292e-01,2.005764416593e-02,-2.236829592834e-07,-6.338072761669e-06,-6.338072761669e+03,4.017116633221e-02,9.424943283326e-04
1.176058538499e-01,2.008778736530e-02,-2.243761377458e-07,-6.345990168037e-06,-6.345990168037e+03,4.027159121282e-02,9.468904896649e-04
1.177151529705e-01,2.011796819552e-02,-2.250701815738e-07,-6.353907574406e-06,-6.353907574406e+03,4.037214146409e-02,9.512976341998e-04
1.178244520912e-01,2.014818665657e-02,-2.257650907673e-07,-6.361824980775e-06,-6.361824980775e+03,4.047281708601e-02,9.557157756402e-04
1.179337512119e-01,2.017844274846e-02,-2.264608653264e-07,-6.369742387143e-06,-6.369742387143e+03,4.057361807857e-02,9.601449276890e-04
1.180430503326e-01,2.020873647119e-02,-2.271575052510e-07,-6.377659793512e-06,-6.377659793512e+03,4.067454444178e-02,9.645851040491e-04
1.181523494533e-01,2.023906782476e-02,-2.278550105412e-07,-6.385577199881e-06,-6.385577199881e+03,4.077559617564e-02,9.690363184234e-04
1.182616485739e-01,2.026943680916e-02,-2.285533811970e-07,-6.393494606249e-06,-6.393494606249e+03,4.087677328013e-02,9.734985845149e-04
1.183709476946e-01,2.029984342440e-02,-2.292526172183e-07,-6.401412012617e-06,-6.401412012617e+03,4.097807575528e-02,9.779719160263e-04
1.184802468153e-01,2.033028767048e-02,-2.299527186051e-07,-6.409329418987e-06,-6.409329418987e+03,4.107950360109e-02,9.824563266606e-04
1.185895459360e-01,2.036076954740e-02,-2.306536853575e-07,-6.417246825355e-06,-6.417246825355e+03,4.118105681753e-02,9.869518301207e-04
1.186988450567e-01,2.039128905516e-02,-2.313555174755e-07,-6.425164231723e-06,-6.425164231723e+03,4.128273540461e-02,9.914584401096e-04
1.188081441773e-01,2.042184619375e-02,-2.320582149590e-07,-6.433081638092e-06,-6.433081638092e+03,4.138453936236e-02,9.959761703300e-04
1.189174432980e-01,2.045244096318e-02,-2.327617778081e-07,-6.440999044460e-06,-6.440999044460e+03,4.148646869074e-02,1.000505034485e-03
1.190267424187e-01,2.048307336345e-02,-2.334662060227e-07,-6.448916450830e-06,-6.448916450830e+03,4.158852338978e-02,1.005045046277e-03
1.191360415394e-01,2.051374339456e-02,-2.341714996029e-07,-6.456833857198e-06,-6.456833857198e+03,4.169070345946e-02,1.009596219410e-03
1.192453406600e-01,2.054445105651e-02,-2.348776585486e-07,-6.464751263567e-06,-6.464751263567e+03,4.179300889979e-02,1.014158567586e-03
1.193546397807e-01,2.057519634929e-02,-2.355846828599e-07,-6.426894875540e-06,-6.426894875540e+03,4.130497774124e-02,1.018699836021e-03
1.194639389014e-01,2.060597927291e-02,-2.362825664658e-07,-6.198868255994e-06,-6.198868255994e+03,3.842596765516e-02,1.023057097132e-03
1.195732380221e-01,2.063679982737e-02,-2.369397445591e-07,-6.016327351294e-06,-6.016327351294e+03,3.619619479793e-02,1.027135165502e-03
1.196825371428e-01,2.066765801267e-02,-2.375977250442e-07,-6.023668598566e-06,-6.023668598566e+03,3.628458338536e-02,1.031096208163e-03
1.197918362634e-01,2.069855382881e-02,-2.382565079213e-07,-6.031009845838e-06,-6.031009845838e+03,3.637307976059e-02,1.035066917509e-03
1.199011353841e-01,2.072948727578e-02,-2.389160931901e-07,-6.038351093108e-06,-6.038351093108e+03,3.646168392364e-02,1.039047305322e-03
1.200104345048e-01,2.076045835359e-02,-2.395764808509e-07,-6.045692340380e-06,-6.045692340380e+03,3.655039587453e-02,1.043037383382e-03
1.201197336255e-01,2.079146706224e-02,-2.402376709035e-07,-6.053033587652e-06,-6.053033587652e+03,3.663921561324e-02,1.047037163471e-03
1.202290327462e-01,2.082251340173e-02,-2.408996633480e-07,-6.060374834922e-06,-6.060374834922e+03,3.672814313976e-02,1.051046657370e-03
1.203383318668e-01,2.085359737206e-02,-2.415624581844e-07,-6.067716082194e-06,-6.067716082194e+03,3.681717845411e-02,1.055065876860e-03
1.204476309875e-01,2.088471897322e-02,-2.422260554127e-07,-6.075057329465e-06,-6.075057329465e+03,3.690632155629e-02,1.059094833723e-03
1.205569301082e-01,2.091587820522e-02,-2.428904550328e-07,-6.082398576736e-06,-6.082398576736e+03,3.699557244629e-02,1.063133539738e-03
1.206662292289e-01,2.094707506807e-02,-2.435556570448e-07,-6.089739824007e-06,-6.089739824007e+03,3.708493112410e-02,1.067182006688e-03
1.207755283495e-01,2.097830956174e-02,-2.442216614486e-07,-6.097081071279e-06,-6.097081071279e+03,3.717439758975e-02,1.071240246353e-03
1.208848274702e-01,2.100958168626e-02,-2.448884682444e-07,-6.104422318550e-06,-6.104422318550e+03,3.726397184322e-02,1.075308270515e-03
1.209941265909e-01,2.104089144161e-02,-2.455560774320e-07,-6.111763565822e-06,-6.111763565822e+03,3.735365388451e-02,1.079386090955e-03
1.211034257116e-01,2.107223882781e-02,-2.462244890114e-07,-6.119104813093e-06,-6.119104813093e+03,3.744344371362e-02,1.083473719453e-03
1.212127248323e-01,2.110362384484e-02,-2.468937029828e-07,-6.126446060364e-06,-6.126446060364e+03,3.753334133054e-02,1.087571167791e-03
1.213220239529e-01,2.113504649271e-02,-2.475637193460e-07,-6.133787307635e-06,-6.133787307635e+03,3.762334673531e-02,1.091678447751e-03
1.214313230736e-01,2.116650677141e-02,-2.482345381011e-07,-6.141128554907e-06,-6.141128554907e+03,3.771345992789e-02,1.095795571112e-03
1.215406221943e-01,2.119800468096e-02,-2.489061592480e-07,-6.148469802178e-06,-6.148469802178e+03,3.780368090829e-02,1.099922549657e-03
1.216499213150e-01,2.122954022134e-02,-2.495785827869e-07,-6.155811049449e-06,-6.155811049449e+03,3.789400967652e-02,1.104059395166e-03
1.217592204356e-01,2.126111339256e-02,-2.502518087176e-07,-6.163152296721e-06,-6.163152296721e+03,3.798444623257e-02,1.108206119421e-03
1.218685195563e-01,2.129272419462e-02,-2.509258370401e-07,-6.170493543992e-06,-6.170493543992e+03,3.807499057644e-02,1.112362734202e-03
1.219778186770e-01,2.132437262751e-02,-2.516006677546e-07,-6.177834791263e-06,-6.177834791263e+03,3.816564270814e-02,1.116529251291e-03
1.220871177977e-01,2.135605869125e-02,-2.522763008609e-07,-6.185176038535e-06,-6.185176038535e+03,3.825640262766e-02,1.120705682469e-03
1.221964169184e-01,2.138778238582e-02,-2.529527363591e-07,-6.192517285806e-06,-6.192517285806e+03,3.834727033500e-02,1.124892039517e-03
1.223057160390e-01,2.141954371123e-02,-2.536299742492e-07,-6.199858533077e-06,-6.199858533077e+03,3.843824583017e-02,1.129088334215e-03
1.224150151597e-01,2.145134266748e-02,-2.543080145311e-07,-6.207199780348e-06,-6.207199780348e+03,3.852932911315e-02,1.133294578347e-03
1.225243142804e-01,2.148317925457e-02,-2.549868572049e-07,-6.214541027620e-06,-6.214541027620e+03,3.862052018397e-02,1.137510783691e-03
1.226336134011e-01,2.151505347249e-02,-2.556665022706e-07,-6.221882274891e-06,-6.221882274891e+03,3.871181904260e-02,1.141736962030e-03
1.227429125218e-01,2.154696532125e-02,-2.563469497281e-07,-6.229223522162e-06,-6.229223522162e+03,3.880322568905e-02,1.145973125144e-03
1.228522116424e-01,2.157891480085e-02,-2.570281995775e-07,-6.236564769433e-06,-6.236564769433e+03,3.889474012334e-02,1.150219284815e-03
