normalized_time,experiment_charge_nC,simulation_charge_nC,difference_nC
1.355677838919e-01,-3.019803926698e+02,-1.016115668132e+02,2.003688258566e+02
1.360680340170e-01,-3.013099217343e+02,-1.036929002924e+02,1.976170214420e+02
1.365682841421e-01,-3.006246958214e+02,-1.058002176549e+02,1.948244781664e+02
1.370685342671e-01,-2.999255185327e+02,-1.079331900494e+02,1.919923284833e+02
1.375687843922e-01,-2.992087739604e+02,-1.100914607721e+02,1.891173131883e+02
1.380690345173e-01,-2.984708096783e+02,-1.122746450922e+02,1.861961645860e+02
1.385692846423e-01,-2.977091534001e+02,-1.144823301337e+02,1.832268232665e+02
1.390695347674e-01,-2.969173906688e+02,-1.167140748133e+02,1.802033158555e+02
1.395697848924e-01,-2.960938169319e+02,-1.189694098405e+02,1.771244070914e+02
1.400700350175e-01,-2.952370563016e+02,-1.212478377773e+02,1.739892185242e+02
1.405702851426e-01,-2.943400865167e+02,-1.235488331624e+02,1.707912533544e+02
1.410705352676e-01,-2.934064405437e+02,-1.258718426999e+02,1.675345978438e+02
1.415707853927e-01,-2.924356943206e+02,-1.282162855146e+02,1.642194088060e+02
1.420710355178e-01,-2.914260501485e+02,-1.305815534734e+02,1.608444966751e+02
1.425712856428e-01,-2.903833155312e+02,-1.329670115764e+02,1.574163039548e+02
1.430715357679e-01,-2.893077869169e+02,-1.353719984143e+02,1.539357885026e+02
1.435717858929e-01,-2.882023634051e+02,-1.377958266968e+02,1.504065367083e+02
1.440720360180e-01,-2.870727465467e+02,-1.402377838479e+02,1.468349626988e+02
1.445722861431e-01,-2.859211029749e+02,-1.426971326706e+02,1.432239703043e+02
1.450725362681e-01,-2.847529259864e+02,-1.451731120792e+02,1.395798139072e+02
1.455727863932e-01,-2.835731883176e+02,-1.476649378982e+02,1.359082504194e+02
1.460730365183e-01,-2.823852860665e+02,-1.501718037271e+02,1.322134823394e+02
1.465732866433e-01,-2.811945075272e+02,-1.526928818692e+02,1.285016256580e+02
1.470735367684e-01,-2.800052136303e+02,-1.552273243224e+02,1.247778893079e+02
1.475737868934e-01,-2.788225268869e+02,-1.577742638309e+02,1.210482630560e+02
1.480740370185e-01,-2.776500311390e+02,-1.603328149936e+02,1.173172161454e+02
1.485742871436e-01,-2.764917974722e+02,-1.629020754282e+02,1.135897220439e+02
1.490745372686e-01,-2.753525602035e+02,-1.654811269870e+02,1.098714332165e+02
1.495747873937e-01,-2.742347486978e+02,-1.680690370211e+02,1.061657116766e+02
1.500750375188e-01,-2.731446676072e+02,-1.706648596904e+02,1.024798079169e+02
1.505752876438e-01,-2.720871622045e+02,-1.732676373142e+02,9.881952489035e+01
1.510755377689e-01,-2.710651571520e+02,-1.758764017600e+02,9.518875539207e+01
1.515757878939e-01,-2.700893540505e+02,-1.784901758648e+02,9.159917818564e+01
1.520760380190e-01,-2.691638984727e+02,-1.811079748858e+02,8.805592358684e+01
1.525762881441e-01,-2.682940170820e+02,-1.837288079750e+02,8.456520910697e+01
1.530765382691e-01,-2.674942596533e+02,-1.863516796734e+02,8.114257997989e+01
1.535767883942e-01,-2.667606702085e+02,-1.889755914208e+02,7.778507878778e+01
1.540770385193e-01,-2.660984867668e+02,-1.915995430745e+02,7.449894369231e+01
1.545772886443e-01,-2.655142588529e+02,-1.942225344345e+02,7.129172441831e+01
1.550775387694e-01,-2.650013053761e+02,-1.968435667675e+02,6.815773860864e+01
1.555777888944e-01,-2.645638486478e+02,-1.994616443268e+02,6.510220432092e+01
1.560780390195e-01,-2.642011837653e+02,-2.020757758631e+02,6.212540790220e+01
1.565782891446e-01,-2.639062234352e+02,-2.046849761197e+02,5.922124731541e+01
1.570785392696e-01,-2.636831724096e+02,-2.072882673091e+02,5.639490510057e+01
1.575787893947e-01,-2.635246990229e+02,-2.098846805655e+02,5.364001845748e+01
1.580790395198e-01,-2.634248102286e+02,-2.124732573688e+02,5.095155285974e+01
1.585792896448e-01,-2.633865290380e+02,-2.150530509359e+02,4.833347810205e+01
1.590795397699e-01,-2.633993017243e+02,-2.176231275744e+02,4.577617414991e+01
1.595797898949e-01,-2.634600653561e+02,-2.201825679957e+02,4.327749736039e+01
1.600800400200e-01,-2.635683648559e+02,-2.227304685835e+02,4.083789627234e+01
1.605802901451e-01,-2.637144949709e+02,-2.252659426127e+02,3.844855235825e+01
1.610805402701e-01,-2.638958154312e+02,-2.277881214179e+02,3.610769401323e+01
1.615807903952e-01,-2.641080374422e+02,-2.302961555069e+02,3.381188193528e+01
1.620810405203e-01,-2.643439410440e+02,-2.327892156156e+02,3.155472542832e+01
1.625812906453e-01,-2.646008033251e+02,-2.352664937048e+02,2.933430962032e+01
1.630815407704e-01,-2.648729404937e+02,-2.377272038928e+02,2.714573660085e+01
1.635817908954e-01,-2.651554224347e+02,-2.401705833264e+02,2.498483910825e+01
1.640820410205e-01,-2.654448937203e+02,-2.425958929839e+02,2.284900073640e+01
1.645822911456e-01,-2.657369418944e+02,-2.450024184135e+02,2.073452348090e+01
1.650825412706e-01,-2.660284521995e+02,-2.473894704022e+02,1.863898179737e+01
1.655827913957e-01,-2.663157181325e+02,-2.497563855778e+02,1.655933255473e+01
1.660830415208e-01,-2.665962948208e+02,-2.521025269413e+02,1.449376787952e+01
1.665832916458e-01,-2.668672923196e+02,-2.544272843308e+02,1.244000798884e+01
1.670835417709e-01,-2.671253360415e+02,-2.567300748169e+02,1.039526122457e+01
1.675837918959e-01,-2.673696565517e+02,-2.590103430301e+02,8.359313521588e+00
1.680840420210e-01,-2.675971674572e+02,-2.612675614210e+02,6.329606036191e+00
1.685842921461e-01,-2.678041845157e+02,-2.635012304541e+02,4.302954061623e+00
1.690845422711e-01,-2.679877275372e+02,-2.657108787367e+02,2.276848800499e+00
1.695847923962e-01,-2.681394096783e+02,-2.678960630845e+02,2.433465937736e-01
1.700850425213e-01,-2.682559024747e+02,-2.700563685251e+02,-1.800466050424e+00
1.705852926463e-01,-2.683342048259e+02,-2.721914082414e+02,-3.857203415578e+00
1.710855427714e-01,-2.683641875172e+02,-2.743008234577e+02,-5.936635940544e+00
1.715857928964e-01,-2.683478471470e+02,-2.763842832693e+02,-8.036436122275e+00
1.720860430215e-01,-2.682813383426e+02,-2.784414844191e+02,-1.016014607650e+01
1.725862931466e-01,-2.681583929699e+02,-2.804721510232e+02,-1.231375805331e+01
1.730865432716e-01,-2.679841889679e+02,-2.824760342485e+02,-1.449184528056e+01
1.735867933967e-01,-2.677559275372e+02,-2.844529119430e+02,-1.669698440580e+01
1.740870435218e-01,-2.674741369419e+02,-2.864025882253e+02,-1.892845128340e+01
1.745872936468e-01,-2.671451087278e+02,-2.883248930320e+02,-2.117978430423e+01
1.750875437719e-01,-2.667671564517e+02,-2.902196816281e+02,-2.345252517647e+01
1.755877938969e-01,-2.663456178824e+02,-2.920868340832e+02,-2.574121620087e+01
1.760880440220e-01,-2.658860078273e+02,-2.939262547150e+02,-2.804024688766e+01
1.765882941471e-01,-2.653882408939e+02,-2.957378715044e+02,-3.034963061049e+01
1.770885442721e-01,-2.648601506488e+02,-2.975216354836e+02,-3.266148483483e+01
1.775887943972e-01,-2.643058073771e+02,-2.992775201019e+02,-3.497171272476e+01
1.780890445223e-01,-2.637277497983e+02,-3.010055205694e+02,-3.727777077105e+01
1.785892946473e-01,-2.631334909189e+02,-3.027056531829e+02,-3.957216226400e+01
1.790895447724e-01,-2.625275692581e+02,-3.043779546373e+02,-4.185038537919e+01
1.795897948974e-01,-2.619155096783e+02,-3.060224813221e+02,-4.410697164386e+01
1.800900450225e-01,-2.613036693581e+02,-3.076393086094e+02,-4.633563925134e+01
1.805902951476e-01,-2.606983415942e+02,-3.092285301322e+02,-4.853018853797e+01
